price,date,bedrooms,bathrooms,sqft,floors,waterfront,yr_built,yr_renovated
221900,285,3,1,1180,1,0,1955,0
5.38E+05,342,3,2.25,2570,2,0,1951,1991
1.80E+05,420,2,1,770,1,0,1933,0
6.04E+05,342,4,3,1960,1,0,1965,0
5.10E+05,413,3,2,1680,1,0,1987,0
1.23E+06,131,4,4.5,5420,1,0,2001,0
257500,177,3,2.25,1715,2,0,1995,0
291850,379,3,1.5,1060,1,0,1963,0
229500,469,3,1,1780,1,0,1960,0
3.23E+05,435,3,2.5,1890,2,0,2003,0
662500,457,3,2.5,3560,1,0,1965,0
4.68E+05,146,2,1,1160,1,0,1942,0
3.10E+05,147,3,1,1430,1.5,0,1927,0
4.00E+05,279,3,1.75,1370,1,0,1977,0
5.30E+05,435,5,2,1810,1.5,0,1900,0
6.50E+05,388,4,3,2950,2,0,1979,0
3.95E+05,211,3,2,1890,2,0,1994,0
4.85E+05,148,4,1,1600,1.5,0,1916,0
1.89E+05,338,2,1,1200,1,0,1921,0
2.30E+05,478,3,1,1250,1,0,1969,0
3.85E+05,133,4,1.75,1620,1,0,1947,0
2.00E+06,237,3,2.75,3050,1,0,1968,0
2.85E+05,183,5,2.5,2270,2,0,1995,0
252700,135,2,1.5,1070,1,0,1985,0
3.29E+05,323,3,2.25,2450,2,0,1985,0
2.33E+05,306,3,2,1710,1.5,0,1941,0
9.37E+05,176,3,1.75,2450,2,0,1915,0
6.67E+05,334,3,1,1400,1.5,0,1909,0
4.38E+05,174,3,1.75,1520,1,0,1948,0
7.19E+05,425,4,2.5,2570,2,0,2005,0
580500,313,3,2.5,2320,2,0,2003,0
2.80E+05,334,2,1.5,1190,3,0,2005,0
687500,174,4,1.75,2330,1.5,0,1929,0
5.35E+05,313,3,1,1090,1.5,0,1929,0
322500,336,4,2.75,2060,1,0,1981,0
6.96E+05,163,3,2.5,2300,1.5,0,1930,2002
5.50E+05,147,4,1,1660,1,0,1933,0
6.40E+05,363,4,2,2360,2,0,1904,0
2.40E+05,408,4,1,1220,1,0,1969,0
